ID_VENTE|CD_PRODUIT|QTE_VENTE|PRIX_VENTE|PRIX_ACHAT
IN-2014-DB130607-41999|OFF-AP-3575|8|207.732|166.1856
IT-2014-VM2168591-41711|FUR-CH-5442|11|341.2239|272.97912
CA-2014-AS10045140-41727|OFF-ST-4516|2|12.56|10.048
ES-2013-DM1352548-41369|TEC-PH-3149|9|426.04|340.832
ES-2013-NM18520120-41634|FUR-BO-5948|4|174.18|139.344
IN-2014-LC168857-41747|TEC-CO-6012|5|331.0056|264.80448
IN-2012-RO1978027-41052|OFF-AP-4738|7|349.6|279.68
CA-2015-AS10045140-42218|OFF-PA-6557|7|5.184|4.1472
ES-2014-EM1406548-41775|TEC-CO-4593|5|114.057|91.2456
CA-2015-AS10045140-42007|OFF-BI-3185|5|8.352|6.6816
IT-2012-ON1871545-40955|FUR-CH-5774|11|344.25|275.4
IN-2014-VS2182027-41790|FUR-BO-3639|4|194.016|155.2128
IN-2014-CM121157-41913|TEC-CO-4790|6|143.4602|114.76816
CA-2015-AB10060140-42315|FUR-TA-4622|7|145.49|116.392
CA-2014-AB10060140-41884|OFF-BI-4340|4|408.297|326.6376
ID-2014-JK153257-41984|TEC-CO-3709|5|150.744|120.5952
IT-2015-RP1927045-42081|TEC-CO-5998|6|177.174|141.7392
IN-2015-DW1354078-42357|TEC-PH-3806|3|261.072|208.8576
CA-2015-AB10060140-42315|FUR-CH-4613|2|196.686|157.3488
US-2014-AB10060140-41712|OFF-AP-4221|2|80.16|64.128
CA-2015-AB10060140-42315|TEC-AC-5858|3|29.056|23.2448
MX-2015-GM1444037-42265|TEC-CO-3587|7|105.492|84.3936
IN-2014-SV2081558-41968|TEC-CO-4577|5|169.23984|135.391872
IN-2014-MM1792027-41950|TEC-AC-3405|9|138.112|110.4896
IN-2015-JK1612059-42204|FUR-BO-5761|8|277.6221|222.09768
ID-2013-EM14200130-41502|TEC-PH-5268|7|192.807|154.2456
CA-2015-AB10060140-42314|OFF-PA-6214|10|6.78|5.424
IN-2013-PM1894059-41284|FUR-BO-5787|10|208.608|166.8864
MX-2014-AT1043582-41667|OFF-AP-4736|7|436.7958|349.43664
ID-2013-AB1001527-41439|TEC-MA-6150|8|230.553|184.4424
CA-2015-AB10060140-42314|OFF-FA-6129|3|21.104|16.8832
CA-2014-AB10060140-41884|OFF-PA-6430|2|9.824|7.8592
MX-2013-PV1898518-41614|TEC-AC-5223|14|98.484|78.7872
IT-2014-SB2029064-41887|TEC-CO-4590|7|152.652|122.1216
SO-2015-SM10005116-42265|TEC-PH-5839|6|255.6|204.48
IN-2013-KH1633059-41489|OFF-AP-4960|4|263.685|210.948
IN-2015-MP181757-42347|TEC-PH-3149|8|426.04|340.832
IN-2013-LH1702027-41572|TEC-CO-3597|3|294.5682|235.65456
CA-2015-AB10060140-42132|TEC-AC-5109|5|63.992|51.1936
ID-2014-CR126257-41878|FUR-BO-5763|1|175.26|140.208
IN-2012-NC1862511-41041|TEC-AC-3403|7|128.28|102.624
IT-2012-GM1468091-41215|OFF-AP-4745|12|226.644|181.3152
ES-2015-RA1994545-42218|FUR-BO-3624|7|267.891|214.3128
ES-2012-DB1306048-41171|TEC-CO-4789|3|108.495|86.796
US-2014-AB10060140-41712|FUR-FU-4762|10|25.576|20.4608
IN-2014-RF197357-41709|TEC-PH-5268|2|192.807|154.2456
ES-2013-JH1582048-41306|TEC-PH-3806|5|261.072|208.8576
US-2014-AB10060140-41712|OFF-BI-4819|5|2.3|1.84
MX-2015-DM1295551-42103|FUR-TA-5064|4|202.311|161.8488
CA-2014-AB10060140-41881|OFF-SU-2972|13|7.448|5.9584
MX-2015-BE1133582-42082|OFF-AP-4745|3|226.644|181.3152
IN-2014-SO2033527-41914|OFF-AP-4502|5|200.052|160.0416
ES-2014-DK12835120-41651|OFF-AP-4507|6|362.06|289.648
SA-2015-LC7050110-42236|TEC-PH-3806|7|261.072|208.8576
IN-2012-PB19210127-41259|FUR-TA-5065|8|90.402|72.3216
IN-2015-CG125207-42077|OFF-AP-4745|3|226.644|181.3152
CA-2013-AB10060140-41535|OFF-PA-6420|7|7.416|5.9328
ID-2015-HG1502559-42194|FUR-BO-5787|2|208.608|166.8864
ID-2014-AD1018059-41801|FUR-CH-4532|8|190.344|152.2752
ES-2012-BP11155139-41130|TEC-PH-3805|9|260.592|208.4736
ID-2015-AA10480130-42080|TEC-PH-5840|9|573.696|458.9568
ID-2014-RL196157-41641|FUR-BO-3639|5|194.016|155.2128
CA-2014-AB10060140-41884|OFF-BI-2911|5|0.762|0.6096
ID-2013-SW2024559-41557|TEC-PH-5840|1|573.696|458.9568
CA-2014-AB10060140-41884|TEC-AC-5744|5|5.432|4.3456
IN-2012-BW1111027-41076|FUR-TA-3420|1|138.7845|111.0276
ES-2015-YC21895139-42097|FUR-BO-3639|5|194.016|155.2128
MX-2012-JM1558082-41045|TEC-PH-5355|7|382.41|305.928
BO-2015-MZ733513-42046|FUR-CH-4654|5|181.884|145.5072
ES-2014-JF15295120-41924|TEC-AC-4185|6|136.9149|109.53192
CA-2015-AB10060140-42264|OFF-PA-6596|6|6.48|5.184
UP-2015-DJ3510137-42202|OFF-AP-4738|4|349.6|279.68
ES-2015-MF1825045-42330|TEC-MA-4205|6|78.822|63.0576
IT-2012-TC2129545-41058|FUR-TA-4642|11|489.81|391.848
CA-2015-AB10060140-42314|OFF-PA-3114|7|3.528|2.8224
IN-2015-CP1234058-42202|OFF-AP-4502|1|200.052|160.0416
ES-2015-EH1412545-42245|TEC-PH-3148|8|190.863|152.6904
IN-2013-NC183407-41634|FUR-TA-5054|9|276.8415|221.4732
IN-2015-BF1100558-42319|OFF-AP-3577|6|206.988|165.5904
ID-2014-JS1603059-41760|FUR-TA-5072|7|93.78|75.024
ES-2012-AM10360139-41136|TEC-PH-5354|5|477.1125|381.69
IN-2015-JF1519021-42341|FUR-TA-4706|7|178.224|142.5792
IN-2014-AB100157-41815|FUR-CH-4654|8|181.884|145.5072
ES-2014-JG15160139-41660|FUR-TA-3344|5|363.42|290.736
CA-2015-AH10075140-42301|FUR-TA-5421|6|303.76|243.008
IN-2015-AG1033059-42197|OFF-AP-3574|3|155.628|124.5024
CA-2015-AH10075140-42301|FUR-FU-3936|4|84.272|67.4176
ES-2015-NF1847548-42248|OFF-AP-3581|2|167.904|134.3232
CA-2015-AH10075140-42301|FUR-TA-4943|2|47.289|37.8312
IN-2012-DR129407-41066|OFF-AP-4966|4|228.36|182.688
ES-2012-NB1865548-41194|OFF-ST-6049|9|78.996|63.1968
IN-2014-NM1844527-41800|TEC-CO-5991|6|119.7|95.76
IN-2015-TA213857-42351|OFF-AP-4508|4|486.432|389.1456
CA-2014-AH10075140-41898|OFF-BI-4338|10|157.794|126.2352
ID-2015-SC20380102-42165|OFF-AP-3580|2|224.916|179.9328
SF-2012-PA9060117-40954|OFF-ST-6047|3|59.67|47.736
ES-2014-RB19570120-41971|FUR-BO-5760|14|131.283|105.0264
CA-2014-AH10075140-41817|OFF-SU-5635|7|115.86|92.688
CA-2015-AH10075140-42110|FUR-FU-4756|2|31.432|25.1456
US-2012-LH1675036-41129|TEC-PH-5839|5|255.6|204.48
CA-2014-AH10075140-41991|TEC-AC-6351|6|55.2|44.16
IN-2013-KB1658527-41488|TEC-CO-3608|3|202.293|161.8344
ES-2013-LH1715545-41444|OFF-AP-4507|4|362.06|289.648
CA-2015-AH1007523-42101|OFF-ST-4257|5|54.924|43.9392
IR-2014-MZ751560-41853|TEC-MA-4210|1|97.053|77.6424
IN-2015-DM1334558-42146|OFF-ST-4266|10|114.0315|91.2252
ID-2012-CA1196566-40949|TEC-PH-5841|9|254.496|203.5968
ES-2014-SC20305120-41909|FUR-BO-3903|11|97|77.6
IN-2015-MH1811558-42157|FUR-BO-4862|3|97.264|77.8112
IN-2014-KS163007-41912|FUR-BO-3640|3|195.648|156.5184
IN-2012-BG1174078-41108|TEC-PH-5356|4|255.564|204.4512
RS-2015-CR2625108-42230|FUR-BO-5950|4|116.624|93.2992
CA-2015-AH10075140-42301|FUR-FU-4022|8|3.5|2.8
IN-2015-DK1309027-42308|TEC-CO-3611|4|189.405|151.524
IN-2014-JL1583527-41845|TEC-PH-3806|6|261.072|208.8576
IN-2015-AP1072058-42284|TEC-PH-5269|8|225.939|180.7512
IN-2015-CR1282058-42294|TEC-PH-5356|4|255.564|204.4512
IN-2014-BF110807-41976|FUR-CH-4531|5|142.083|113.6664
IN-2015-JM15265102-42316|OFF-AP-3571|4|90.513|72.4104
IN-2014-NM1844527-41800|FUR-CH-5378|6|138.132|110.5056
IT-2012-TW2102545-41172|FUR-BO-5760|3|131.283|105.0264
IT-2012-RB1933045-41080|FUR-CH-4530|3|141.354|113.0832
CA-2015-AH10075140-42273|OFF-SU-3839|4|95.448|76.3584
CA-2015-AH10075140-42144|FUR-CH-5429|2|117.882|94.3056
SF-2015-AB10060117-42334|OFF-AP-4732|3|123.756|99.0048
EG-2013-JR567038-41363|TEC-PH-5355|4|382.41|305.928
MX-2012-MD1735028-41222|OFF-AP-4962|2|281.968|225.5744
CA-2015-AH10075140-42301|OFF-PA-6415|9|4.344|3.4752
ES-2013-EB13840139-41487|OFF-AP-4743|8|227.388|181.9104
CA-2014-AH10075140-41991|OFF-PA-6577|7|6.48|5.184
CA-2014-AH10075140-41817|OFF-FA-5459|10|2.864|2.2912
CA-2014-AH10075140-41817|OFF-PA-3115|5|6.24|4.992
AJ-2014-JL58359-41662|FUR-TA-3358|2|272.685|218.148
IN-2012-EP1391559-41049|FUR-BO-5967|4|117.045|93.636
ES-2015-MS17770139-42275|FUR-BO-3626|7|124.209|99.3672
IT-2012-CM1265545-41218|TEC-MA-5007|7|257.7897|206.23176
LH-2015-JC610575-42032|FUR-TA-3345|5|588.0225|470.418
IN-2015-GB145307-42260|TEC-CO-4593|8|114.057|91.2456
CA-2015-AH10075140-42335|OFF-AR-5327|13|3.424|2.7392
US-2012-JH161805-41264|TEC-PH-3149|3|426.04|340.832
EG-2014-MT807038-41675|FUR-BO-5951|9|283.3935|226.7148
IN-2012-AB1010558-41270|TEC-CO-6010|6|94.34192|75.473536
CA-2015-AH10075140-42301|OFF-AP-4739|3|0.444|0.3552
LT-2012-CV280572-41025|TEC-PH-5354|1|477.1125|381.69
IN-2012-NH1861092-41187|FUR-TA-4645|4|184.734|147.7872
ID-2014-HJ1487527-41875|FUR-TA-5065|4|90.402|72.3216
MX-2014-JL1517518-41903|FUR-CH-5776|7|185.472|148.3776
MX-2015-MY1829593-42355|OFF-AP-4505|4|144.472|115.5776
CA-2012-AH10075140-41228|OFF-LA-5591|5|2.088|1.6704
CA-2013-AH10075140-41629|OFF-AR-5458|2|1.88|1.504
CA-2015-AH10075140-42273|OFF-BI-3301|2|4.584|3.6672
MX-2015-KC1654093-42158|OFF-AP-4507|5|362.06|289.648
MX-2015-CS1246093-42259|TEC-PH-5354|5|477.1125|381.69
IN-2015-HA1492027-42111|TEC-PH-3148|5|190.863|152.6904
ES-2013-MT1781545-41599|TEC-MA-5017|2|241.056|192.8448
ES-2015-FW1439545-42069|FUR-BO-3627|7|275.12|220.096
ES-2013-BH1171048-41478|TEC-PH-3807|3|196.272|157.0176
ID-2015-DK1289559-42315|OFF-AP-4964|5|227.832|182.2656
MX-2015-KD1627018-42330|FUR-CH-4544|7|44.874|35.8992
ES-2012-SC208458-41070|FUR-BO-4848|9|382.4253|305.94024
MX-2013-CY1274582-41531|TEC-CO-6010|5|94.34192|75.473536
IN-2012-HL150407-41237|TEC-CO-3596|10|126.84776|101.478208
IN-2013-CT1199566-41496|TEC-CO-4591|7|151.932|121.5456
ES-2014-CC12370139-41718|OFF-AP-3573|8|119.94|95.952
LT-2014-GR456072-42003|TEC-CO-3688|9|110.8065|88.6452
IN-2013-TT2107058-41551|FUR-CH-4656|12|183.756|147.0048
IT-2013-PO19195120-41492|TEC-PH-3146|6|54.66|43.728
IN-2013-ED13885144-41549|FUR-CH-4530|8|141.354|113.0832
IN-2015-AP1091559-42089|OFF-AP-4966|5|228.36|182.688
MX-2015-TM2149031-42329|TEC-CO-3597|3|294.5682|235.65456
IT-2012-AW1084091-41242|TEC-CO-4792|5|144.084|115.2672
IN-2012-DP131057-41215|FUR-CH-4530|8|141.354|113.0832
CA-2015-AH10075140-42144|OFF-PA-6504|6|3.984|3.1872
RO-2013-SG10605107-41614|TEC-CO-4571|7|77.46492|61.971936
MX-2014-BM1178582-41976|TEC-PH-5839|8|255.6|204.48
MX-2013-FH1436582-41628|TEC-PH-3806|3|261.072|208.8576
MX-2013-DK1337582-41530|TEC-PH-3148|8|190.863|152.6904
CA-2015-AS10090140-42264|OFF-BI-4343|6|179.398|143.5184
CA-2012-AS10090140-41173|FUR-CH-5430|2|112.686|90.1488
CA-2013-AS10090140-41587|FUR-TA-3427|4|102.438|81.9504
TU-2013-SF10200134-41417|TEC-PH-5815|7|83.415|66.732
CA-2014-AS10090140-41812|FUR-BO-5529|14|150.2664|120.21312
SG-2015-JW5220111-42108|TEC-PH-3805|2|260.592|208.4736
MX-2015-CC1210082-42245|TEC-PH-5268|6|192.807|154.2456
ID-2015-RD1993092-42140|OFF-AP-4961|5|211.176|168.9408
CM-2013-BP123022-41621|OFF-AP-4733|6|81.808|65.4464
ES-2012-SA20830139-40998|FUR-BO-5950|6|116.624|93.2992
IN-2013-EM1381058-41308|FUR-BO-5762|6|219.75|175.8
IN-2014-CS12175130-41788|TEC-PH-5356|7|255.564|204.4512
IT-2013-JD16060120-41515|OFF-ST-5691|6|42.201|33.7608
IN-2012-GH1466527-41074|FUR-CH-5412|11|48.609|38.8872
IN-2015-CM1193527-42244|OFF-AP-3578|8|373.98|299.184
MX-2012-JB1600093-41208|TEC-PH-5839|3|255.6|204.48
RS-2015-RB9465108-42082|TEC-PH-5268|3|192.807|154.2456
MX-2015-RB1979518-42258|FUR-TA-3763|4|174.972|139.9776
ID-2013-PO191957-41514|FUR-BO-5762|5|219.75|175.8
CA-2015-AS10090140-42264|TEC-AC-5138|6|29.99|23.992
IN-2014-TS212057-41852|FUR-TA-5053|3|176.4|141.12
CA-2014-AS10090140-41812|OFF-BI-5638|6|38.78|31.024
SF-2015-MV8190117-42362|TEC-PH-3148|6|190.863|152.6904
CA-2015-AS10090140-42264|TEC-AC-5094|4|29.99|23.992
ES-2013-BD11560139-41327|FUR-CH-4655|2|304.76|243.808
IN-2015-PS1876059-42288|FUR-BO-3648|5|65.584|52.4672
US-2015-FM1421551-42115|TEC-CO-4577|9|169.23984|135.391872
IN-2014-CA1277558-41802|TEC-PH-3149|5|426.04|340.832
ES-2014-CD1279048-41899|FUR-BO-5969|9|155.052|124.0416
IN-2015-NL1831092-42266|OFF-ST-6046|7|59.526|47.6208
IT-2015-TB2105545-42334|OFF-AP-4502|6|200.052|160.0416
ES-2015-NF1847548-42248|TEC-CO-3595|7|95.994|76.7952
IN-2015-KD1649527-42175|FUR-BO-3627|5|275.12|220.096
HU-2015-EH412557-42300|OFF-ST-5702|5|84.66|67.728
IN-2012-KB1660058-41136|FUR-BO-3639|6|194.016|155.2128
MX-2015-CS1246093-42259|TEC-PH-5841|9|254.496|203.5968
CA-2015-AS10090140-42096|OFF-ST-4516|2|12.56|10.048
ES-2015-MG1769564-42018|TEC-CO-6012|6|331.0056|264.80448
ID-2015-VF21715102-42321|FUR-CH-5380|8|245.44|196.352
ID-2014-AM1070559-41803|TEC-CO-4568|5|104.39884|83.519072
CA-2015-AS10090140-42264|FUR-FU-4050|6|3.752|3.0016
IN-2015-BP11290113-42269|TEC-CO-4588|3|56.988|45.5904
AO-2012-HZ49504-40916|FUR-BO-4850|9|165.24|132.192
CA-2012-AS10090140-41173|FUR-FU-3844|6|25.984|20.7872
IN-2014-EM1382566-41850|TEC-CO-4578|3|127.968|102.3744
US-2015-AS10090140-42341|OFF-AR-5285|3|11.55|9.24
IN-2015-BS1180059-42124|OFF-AP-4504|3|249.135|199.308
MX-2012-DV1346539-41179|FUR-BO-5951|10|283.3935|226.7148
IN-2015-MB173057-42179|FUR-BO-5948|8|174.18|139.344
IT-2012-PC19000120-41004|OFF-ST-5700|14|116.391|93.1128
IT-2015-CA1231045-42223|TEC-PH-5355|8|382.41|305.928
CA-2015-AS10090140-42096|OFF-FA-6129|3|21.104|16.8832
ES-2015-MB1808545-42049|OFF-ST-6261|5|122.49|97.992
CA-2012-AS10090140-41266|OFF-AP-3367|4|2.794|2.2352
RO-2013-DB3660107-41503|FUR-CH-5456|1|69.576|55.6608
CA-2013-AS10090140-41587|OFF-EN-2848|8|6.992|5.5936
MX-2013-BG1174018-41493|OFF-AP-4960|3|263.685|210.948
CA-2014-AS10090140-41812|OFF-BI-6094|7|2.742|2.1936
CA-2014-AS10090140-41762|OFF-ST-3078|5|7.89|6.312
IN-2013-KB1631578-41495|TEC-MA-5005|3|52.551|42.0408
ID-2014-PK190757-41691|FUR-TA-3359|7|273.9729|219.17832
ID-2013-CS121757-41473|TEC-AC-3402|5|103.5|82.8
CA-2014-AS10090140-41894|OFF-LA-6021|8|3.75|3
ES-2015-AF1088545-42103|OFF-ST-6049|2|78.996|63.1968
ES-2013-SJ2050045-41443|FUR-TA-3343|7|606.18|484.944
ES-2014-DM1295545-42004|TEC-CO-4590|4|152.652|122.1216
CA-2014-AS10090140-41762|OFF-ST-6158|6|5.28|4.224
IT-2013-CC1261048-41289|OFF-AP-4497|3|253.746|202.9968
CG-2013-BW106533-41437|TEC-PH-5840|9|573.696|458.9568
IN-2015-BE114557-42080|TEC-CO-4568|4|104.39884|83.519072
ES-2013-TG2164014-41591|OFF-AP-3867|14|229.578|183.6624
CA-2014-AS10090140-41762|OFF-LA-3224|9|2.52|2.016
CA-2015-AS10090140-42264|OFF-BI-3473|2|1.148|0.9184
ES-2015-VM2168545-42140|FUR-BO-5971|2|78.304|62.6432
CA-2013-AS10090140-41587|OFF-BI-3473|9|1.148|0.9184
MX-2015-SC2069539-42360|FUR-CH-4530|3|141.354|113.0832
ID-2014-SN2056097-41896|TEC-PH-3148|4|190.863|152.6904
ID-2014-CD122807-41646|FUR-TA-5059|11|171.03|136.824
ES-2015-CC1210045-42182|TEC-CO-3595|5|95.994|76.7952
ES-2013-BG1103544-41468|TEC-MA-5502|3|280.125|224.1
IN-2015-CC125507-42046|TEC-CO-3706|4|56.90568|45.524544
IN-2015-AB101057-42153|TEC-CO-3609|8|189.225|151.38
IN-2015-SV2078559-42110|OFF-ST-6049|5|78.996|63.1968
ES-2015-HW1493545-42335|FUR-BO-5798|11|45.45|36.36
IN-2012-AS1028558-41221|FUR-CH-5447|5|41.544|33.2352
ES-2015-LD1685545-42265|FUR-BO-3639|7|194.016|155.2128
MX-2015-NS1850528-42059|TEC-CO-6010|5|94.34192|75.473536
MX-2014-CM1271582-41885|FUR-CH-5379|7|274.77|219.816
IN-2014-VG2180527-41996|FUR-BO-3641|4|329.103|263.2824
GH-2015-JD606049-42172|OFF-AP-4956|2|185.85|148.68
ID-2015-MG17680144-42078|FUR-CH-5378|4|138.132|110.5056
IN-2015-CD1228058-42197|FUR-BO-5763|5|175.26|140.208
ES-2015-DB13210139-42164|TEC-MA-4206|5|220.8045|176.6436
ES-2015-CS118608-42292|OFF-ST-4057|4|70.6035|56.4828
IN-2015-AF1088558-42222|TEC-PH-3148|8|190.863|152.6904
ID-2013-BN11470130-41633|TEC-PH-5267|4|546.363|437.0904
ES-2013-GG1465045-41615|TEC-CO-4792|5|144.084|115.2672
ES-2014-EM1406548-41775|TEC-PH-3805|4|260.592|208.4736
IR-2014-BS166560-41807|OFF-ST-5700|4|116.391|93.1128
IN-2015-AC1045058-42311|FUR-TA-4711|14|106.56|85.248
ES-2013-CK1220564-41422|TEC-CO-4592|5|378.39|302.712
ES-2014-JD16150139-41868|FUR-BO-4848|4|382.4253|305.94024
UP-2012-CC2550137-41062|FUR-TA-5059|3|171.03|136.824
IT-2012-MS17830139-41103|TEC-MA-5511|1|79.695|63.756
CA-2013-AS10090140-41587|OFF-PA-6535|4|4.624|3.6992
